receiver,x,y
3782E0,185861.88569534317,448163.66925295634
37811F,185958.58094027266,448132.72930185933
375473,186052.45862162282,448104.4875119383
378651,186148.85713492834,448078.13768735825
37773C,186235.14777282169,448041.6638322277
378EC8,186325.05257459683,448001.5958240516
378B26,186426.45147478653,447988.5067553877
377AB4,186458.62434524982,447883.05806086026
377EE4,186355.03166955133,447906.10192409775
376403,186261.83192204582,447946.46586506953
3776D7,186172.3311897591,447977.05329084647
37ADE5,186069.50695894263,448009.34977838
377509,185982.19964384448,448041.95933637273
375251,185887.13489558818,448062.9490002073
376BFE,185823.27903864573,447988.0125491282
376E29,185908.36064437556,447959.8629364261
376357,186013.00342498493,447922.8743615608
377746,186335.24604641128,447418.09064206266
37AA2F,186194.5393811433,447579.2151196668
37833D,186308.90804240262,447534.47851564887
37A83B,186421.5716951099,447497.65137241187
37A97B,186283.4439776685,447630.9988293641
377371,186174.8437128116,447675.6694482415
377EDD,186064.80649652568,447728.7174157473
37681F,186130.5224085528,447779.42128008604
377CC6,186244.6828462846,447744.1289554119
378116,186345.7665039226,447715.17314583954
3780B5,186303.01408755797,447820.54667427
3781B6,186195.9176352807,447859.08060320345
378E9C,186227.62470640833,447468.2686924552
3763A3,185695.67790152974,447674.46694771043
376BB8,185777.06418536528,447734.83094813145
377A0D,185886.15656355585,447700.0121074839
37820D,185974.37726358182,447654.6115214937
3778A1,185957.5414495188,447745.29328094696
37510D,185750.24257133662,447821.00331456243
37A5ED,185821.49548157773,447887.53520511725
376C34,185946.9607716997,447857.2673759769
376A73,186442.14170874318,447693.05341068254
37AA16,186402.7735597993,447802.4856494169
37A4E0,186101.29011074436,447886.74626905797
37738E,186378.90256100296,447560.01449531893
376DA0,186115.31521614437,447512.09667329205
378F20,186091.69801567215,447617.53548297135
379BF9,186014.9321500301,447559.34004022134
37AAE8,185904.3234656334,447598.63244045037
3783A9,185802.96897273965,447637.9471275342
37A568,185854.63826024733,447794.4546635716
37757F,186034.74466817608,447812.3593997116
